model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,use_case_recall_delta_mean,use_case_recall_delta_sd,path_fidelity_delta_mean,path_fidelity_delta_sd,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,elapsed_sec_delta_mean,elapsed_sec_delta_sd
qwen2.5-coder:3b,routes_minus_file_tree,16,1.2684367429683117,17.100364513172565,-0.06438503285929756,0.2553312461172048,0.09902131433381431,0.185670489037313,-0.052008928571428574,0.3321184546847357,2.2805000000000004,2.5821163154797393
qwen2.5-coder:3b,models_minus_file_tree,16,4.634753389174027,17.01745481368798,0.040653739642710233,0.2611379377030994,0.05570526695526695,0.1806211777414554,-0.010044642857142856,0.26765617460862445,3.3591875,3.083703514039571
qwen2.5-coder:7b,readme_plus_code_minus_readme_only,16,3.131840043184803,10.41470686466427,0.03623934276507806,0.14768988903209465,0.15570620104102245,0.08161814484144578,-0.11458333333333333,0.24790791301072526,11.964375,5.925916220298766
qwen2.5-coder:7b,full_minus_readme_plus_code,16,0.15998325781071254,10.074183495315662,0.027531261630526337,0.15800735007476346,0.044859017470624624,0.0692437033418299,0.015624999999999997,0.24768271274046597,2.5221875000000002,4.464815012498652
qwen2.5-coder:7b,readme_plus_code_minus_file_tree,16,9.930080194869097,14.610230286298158,0.14285610223110223,0.23520032403130514,0.09315772521129664,0.1406674394820486,-0.28645833333333337,0.32054460312504496,12.555125,6.430204899534695
qwen2.5-coder:7b,routes_minus_file_tree,16,9.138936788190192,11.415134780649629,0.13660448007874476,0.23764194225958055,0.151148802008177,0.10825428672599963,-0.21614583333333334,0.31594169571709363,5.575000000000001,5.709407149608443
qwen2.5-coder:7b,models_minus_file_tree,16,4.080333095316522,9.762864128382953,0.08090041086364616,0.22812502318329908,0.04165467923280423,0.14956436262986725,-0.17953869047619048,0.35388653553915167,6.024625,5.270292539318857
qwen2.5:3b,readme_plus_code_minus_readme_only,16,-0.28298900027969187,16.448155079258743,0.008718824068088788,0.29428330743722414,0.05349116698447055,0.13748329582670765,0.02187499999999999,0.30842903920062753,6.656875,3.1871800466870397
qwen2.5:3b,full_minus_readme_plus_code,16,-4.146307581513617,13.800883583705179,-0.05208333333333333,0.22381343932235567,-0.00463812766268124,0.14545711861812713,-0.0011904761904761897,0.2726393213505441,2.0811875,2.7009145665558054
qwen2.5:3b,readme_plus_code_minus_file_tree,16,5.086720253709258,15.194742556864428,0.10925174702748235,0.2611476449172589,0.06522122264309764,0.11003680493040893,-0.07135416666666666,0.27219901403337365,7.202499999999999,5.203493582840922
qwen2.5:3b,routes_minus_file_tree,16,0.7556026178831546,14.5772863190935,0.06181572716499187,0.28853417898406314,0.10153318903318904,0.1342045162538508,0.022321428571428575,0.38972719008410756,3.617375,4.263095242895706
qwen2.5:3b,models_minus_file_tree,16,-2.0766683863613764,13.98120443834577,0.053191722493193073,0.299581220814084,0.024257079725829724,0.07563045841821098,0.12760416666666669,0.24119146286562312,5.0439375,3.865485695549784
qwen2.5vl:3b,readme_plus_code_minus_readme_only,16,4.295294000574969,15.211634253312845,-0.002686896436896423,0.24731423231460714,0.13139942956349204,0.18215764835551845,-0.16842757936507938,0.28968967769527054,11.1396875,5.726416200018415
qwen2.5vl:3b,full_minus_readme_plus_code,16,0.4423953986246393,9.897496712883243,0.02468891402714932,0.17086675561341697,0.014964657738095237,0.22309973230371813,-0.10334821428571428,0.22012983986780793,7.3689374999999995,7.452432242507586
qwen2.5vl:3b,readme_plus_code_minus_file_tree,16,8.48784160952032,19.36592885944598,0.0805308661926309,0.26374379134297654,-0.016894221230158737,0.2528465713544717,-0.23814484126984128,0.41343086902081905,11.9446875,7.628217299113864
qwen2.5vl:3b,routes_minus_file_tree,16,3.8407891401633063,15.85116160579204,0.05313644688644688,0.2648123217965717,-0.05206162389198103,0.255528389537358,-0.20143849206349207,0.5503566621685873,8.104187499999998,8.404273882723796
qwen2.5vl:3b,models_minus_file_tree,16,-2.2539223399285495,15.866503197989065,-0.025669183757419056,0.24303650917920377,-0.07666501322751323,0.20429668049829255,0.02586805555555556,0.4306251063896373,7.1255625,5.549619301883088
pooled,readme_plus_code_minus_readme_only,16,3.545184200651036,9.29119870502183,0.03710047305635542,0.15275326349082977,0.11126290944092283,0.0803026805299218,-0.10146171536796537,0.15417876890952661,10.8844125,4.352871305222949
pooled,full_minus_readme_plus_code,16,-1.5218584288832235,5.993284092086285,-0.008935895599498547,0.08781435823777482,0.011828951719576722,0.055096190999338525,0.03233540764790764,0.07723312006977291,2.8525125,2.520027576800169
pooled,readme_plus_code_minus_file_tree,16,9.166769827694665,7.551424417634048,0.10133595571095572,0.14914102806310153,0.06510785711064729,0.08950133925583205,-0.22277123917748914,0.1303430549496708,10.84296875,5.348627193927895
pooled,routes_minus_file_tree,16,5.234816866319996,8.035412226341066,0.04775310779906368,0.16615386500210372,0.06334459497182712,0.06274316726854227,-0.12096793831168831,0.17093126670198794,5.754487500000001,4.427999271435501
pooled,models_minus_file_tree,16,3.130585668727917,8.43267345012866,0.04306996312511019,0.13766892366766298,0.015087480351989275,0.06012319841371299,-0.04064303751803749,0.15723897945074708,5.812925,3.3239438750777164
