model,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
llama3.2-vision:11b,models_services,16,1.0,0.6708333333333334,0.3158132308867604,0.09157986111111113,0.15368715390997365,0.4458333333333333,23.559375,34.148700945241764,16922.6875,5.8125
llama3.2-vision:11b,readme_only,16,1.0,0.6708333333333334,0.3346011525239467,0.05896577380952381,0.1367658203490705,0.4069444444444444,14.958562500000001,34.28906534198689,3490.4375,6.5625
llama3.2-vision:11b,readme_plus_code,16,1.0,0.7854166666666667,0.36884249329102275,0.23728385040885047,0.1737065970291932,0.31011904761904757,32.557750000000006,42.86790608594357,30179.75,5.25
llama3.2-vision:11b,readme_plus_tree,16,1.0,0.65,0.4028782492017786,0.0974539103835979,0.1305841503078155,0.4276041666666667,17.5243125,36.73253751768477,5309.5,7.1875
llama3.2-vision:11b,routes_controllers,16,0.9375,0.65,0.2985128229613524,0.15663645382395383,0.11976804529891986,0.4157986111111111,25.4729375,34.2192124484991,17198.3125,5.6875
llama3.2:3b,file_tree_only,16,1.0,0.23645833333333335,0.198474901324166,0.0646205357142857,0.09185663899250403,0.7274305555555557,6.463187499999998,17.071742956630196,1817.0625,7.8125
llama3.2:3b,full_selected_context,16,0.9375,0.2677083333333333,0.21509271978021977,0.08948412698412699,0.08234069086108482,0.6003787878787878,13.52725,19.90341688278529,34953.875,4.125
llama3.2:3b,models_services,16,1.0,0.3875,0.23007142979569448,0.0771577380952381,0.11533846790703355,0.5945684523809524,7.7175625,23.130047299550046,16922.6875,4.6875
llama3.2:3b,readme_only,16,1.0,0.45,0.3050432716793011,0.03627232142857143,0.13555657881877445,0.46597222222222223,5.5880624999999995,27.77558739740636,3490.4375,5.9375
llama3.2:3b,readme_plus_code,16,0.875,0.321875,0.2844404370139664,0.08568497474747475,0.10933227233139546,0.44187184343434344,12.901250000000001,25.32788044106582,30179.75,4.3125
llama3.2:3b,readme_plus_tree,16,0.9375,0.4708333333333334,0.2911295812031106,0.03218005952380952,0.10843530277685154,0.47537202380952376,6.404187500000001,27.122612502809265,5309.5,6.5625
llama3.2:3b,routes_controllers,16,1.0,0.30416666666666664,0.19373328877005347,0.12648414953102455,0.14481457026240352,0.6810267857142857,7.929312499999999,20.75563212769889,17198.3125,5.1875
qwen2.5-coder:1.5b,file_tree_only,16,1.0,0.48854166666666665,0.20818140193140194,0.05546875,0.09263170125309503,0.6629464285714285,3.0912500000000005,22.92656863401454,1817.0625,4.75
qwen2.5-coder:1.5b,full_selected_context,16,0.8125,0.34791666666666665,0.2352225286967934,0.13067602040816326,0.09880009320396345,0.4252232142857143,7.169124999999999,25.034411501086673,34953.875,3.75
qwen2.5-coder:1.5b,models_services,16,1.0,0.5614583333333334,0.20712400344753285,0.13706597222222222,0.10230301958866032,0.6004464285714286,4.667999999999999,26.74990723989038,16922.6875,5.25
qwen2.5-coder:1.5b,readme_only,16,0.9375,0.60625,0.22834092990342994,0.012276785714285714,0.11198280809316416,0.49449404761904764,3.2340625,27.097269906112746,3490.4375,4.5
qwen2.5-coder:1.5b,readme_plus_code,16,0.875,0.4625,0.25381227228653697,0.09447037337662338,0.12217817284771658,0.39103084415584416,6.483875,27.94520114871857,30179.75,4.4375
qwen2.5-coder:1.5b,readme_plus_tree,16,1.0,0.5927083333333334,0.22496565934065935,0.07343749999999999,0.09038274671495707,0.5771577380952381,3.1513124999999995,26.780878563361718,5309.5,4.5625
qwen2.5-coder:1.5b,routes_controllers,16,0.9375,0.5625,0.24864186059039,0.10915178571428572,0.12689016466850733,0.4453869047619048,4.62,29.584984257357927,17198.3125,4.5625
qwen2.5-coder:14b,file_tree_only,16,1.0,0.5125,0.23654556228085638,0.08735768613000755,0.10237811259930132,0.384375,19.15125,27.96817009141965,1817.0625,5.5625
qwen2.5-coder:14b,full_selected_context,16,1.0,0.7291666666666666,0.5067378699731641,0.2867041589363018,0.21164934737225313,0.31629464285714287,54.343999999999994,48.06503574313248,34953.875,7.3125
qwen2.5-coder:14b,models_services,16,1.0,0.5364583333333334,0.45009185055140943,0.16710939110492687,0.16554816673412137,0.4642857142857143,37.5086875,37.66493461621921,16922.6875,7.5625
qwen2.5-coder:14b,readme_only,16,1.0,0.5208333333333334,0.36622700216450216,0.050621569650587506,0.12701082127315708,0.3223958333333333,19.35125,32.928247121200016,3490.4375,5.8125
qwen2.5-coder:14b,readme_plus_code,16,1.0,0.7104166666666666,0.47106579082682026,0.24219373797498794,0.20263737927137102,0.34375,48.842375,45.141571460842364,30179.75,7.1875
qwen2.5-coder:14b,readme_plus_tree,16,1.0,0.6479166666666666,0.46958093989343985,0.11300916262969833,0.1581661482786578,0.3828125,28.094937499999997,40.198216706377565,5309.5,7.375
qwen2.5-coder:14b,routes_controllers,16,1.0,0.7052083333333332,0.4873644737615326,0.2248361967893218,0.20944858228873633,0.3671875,35.3319375,45.12850091843778,17198.3125,7.5
qwen2.5-coder:3b,file_tree_only,16,1.0,0.3177083333333333,0.2982822018667607,0.09691535894660895,0.10172371122105862,0.640625,8.20875,23.85195657925135,1817.0625,8.0
qwen2.5-coder:3b,full_selected_context,16,1.0,0.5333333333333332,0.35173356055708993,0.1810747918169793,0.11970003722943581,0.5324652777777777,14.9055,33.06968490316816,34953.875,7.125
qwen2.5-coder:3b,models_services,16,1.0,0.3979166666666667,0.33893594150947093,0.15262062590187586,0.12793398237677406,0.6305803571428572,11.5679375,28.48670996842537,16922.6875,7.8125
qwen2.5-coder:3b,readme_only,16,1.0,0.5833333333333334,0.2596334731445025,0.042157738095238095,0.11166016994360482,0.5671875,7.5093749999999995,27.60002053778309,3490.4375,7.0
qwen2.5-coder:3b,readme_plus_code,16,1.0,0.575,0.3977895266498208,0.22211737914862914,0.14289248339926858,0.4674851190476191,13.3895,37.33351707622914,30179.75,7.0
qwen2.5-coder:3b,readme_plus_tree,16,0.875,0.4291666666666667,0.23561634443987386,0.09681186868686868,0.09580363853505233,0.5404017857142858,8.8090625,24.79917948334922,5309.5,6.4375
qwen2.5-coder:3b,routes_controllers,16,0.875,0.35625,0.23389716900746316,0.1959366732804233,0.1184279770423799,0.5886160714285714,10.489250000000004,25.120393322219655,17198.3125,6.4375
qwen2.5-coder:7b,file_tree_only,16,1.0,0.5229166666666666,0.29157815223991695,0.0714657738095238,0.15321817978347807,0.6223958333333333,12.8866875,28.167198501339737,1817.0625,7.625
qwen2.5-coder:7b,full_selected_context,16,1.0,0.45833333333333337,0.4619655161015455,0.20948251649144511,0.14985179293132592,0.3515625,27.964000000000002,38.25726195401955,34953.875,7.3125
qwen2.5-coder:7b,models_services,16,0.9375,0.4635416666666667,0.3724785631035631,0.11312045304232804,0.14040739482820566,0.44285714285714284,18.911312499999998,32.247531596656266,16922.6875,6.6875
qwen2.5-coder:7b,readme_only,16,1.0,0.66875,0.39819491170594107,0.008917297979797978,0.13203194113689787,0.4505208333333333,13.4774375,34.96543865302403,3490.4375,7.5625
qwen2.5-coder:7b,readme_plus_code,16,0.9375,0.5333333333333333,0.43443425447101913,0.16462349902082044,0.15282120950933922,0.3359375,25.4418125,38.09727869620883,30179.75,6.875
qwen2.5-coder:7b,readme_plus_tree,16,1.0,0.6041666666666666,0.3529526539636834,0.06727891156462584,0.14914766732962545,0.5010416666666666,14.804687499999996,33.00905279663249,5309.5,7.6875
qwen2.5-coder:7b,routes_controllers,16,1.0,0.4708333333333334,0.42818263231866166,0.22261457581770086,0.16755233169040576,0.40625,18.461687500000004,37.30613528952993,17198.3125,7.125
qwen2.5:3b,file_tree_only,16,1.0,0.6114583333333332,0.2775337407690349,0.03363095238095238,0.13451587009549337,0.47395833333333326,6.5046875,29.893621359300997,1817.0625,6.0625
qwen2.5:3b,full_selected_context,16,0.875,0.4604166666666667,0.3347021544631838,0.09421404736136878,0.13606541663242677,0.40141369047619047,15.788375000000002,30.834034031496646,34953.875,5.875
qwen2.5:3b,models_services,16,1.0,0.434375,0.33072546326222796,0.0578880321067821,0.16079507444173366,0.6015625,11.548625000000001,27.816952972939625,16922.6875,7.5625
qwen2.5:3b,readme_only,16,1.0,0.6510416666666666,0.37806666372842845,0.04536100803957947,0.1273490370224468,0.3807291666666667,7.0503124999999995,35.26333061328996,3490.4375,6.75
qwen2.5:3b,readme_plus_code,16,0.9375,0.5541666666666667,0.3867854877965172,0.09885217502405001,0.16056762486563275,0.40260416666666665,13.707187500000002,34.98034161301025,30179.75,6.1875
qwen2.5:3b,readme_plus_tree,16,1.0,0.6708333333333333,0.43011039205892143,0.05829482645330859,0.1337521438838522,0.3859375,8.509375,37.783334076052874,5309.5,7.3125
qwen2.5:3b,routes_controllers,16,1.0,0.41354166666666664,0.33934946793402676,0.1351641414141414,0.18404493712831188,0.4962797619047619,10.1220625,30.649223977184164,17198.3125,6.75
qwen2.5vl:3b,file_tree_only,16,1.0,0.3145833333333333,0.19002976190476192,0.1553769841269841,0.10411959537947595,0.6651041666666666,7.244750000000001,20.961000279898492,1817.0625,5.3125
qwen2.5vl:3b,full_selected_context,16,0.75,0.40625,0.2952495421245421,0.15344742063492062,0.10664440080647813,0.32361111111111107,26.558375,29.891237288043452,34953.875,4.5625
qwen2.5vl:3b,models_services,16,1.0,0.34270833333333334,0.16436057814734284,0.0787119708994709,0.09571825615860523,0.6909722222222223,14.3703125,18.707077939969942,16922.6875,5.4375
qwen2.5vl:3b,readme_only,16,1.0,0.5041666666666667,0.27324752453428924,0.007083333333333333,0.08791690518418425,0.5953869047619048,8.04975,25.153547888843843,3490.4375,6.0
qwen2.5vl:3b,readme_plus_code,16,0.875,0.48125,0.2705606280973928,0.13848276289682537,0.12361052680278713,0.4269593253968254,19.189437499999997,29.448841889418816,30179.75,4.5625
qwen2.5vl:3b,readme_plus_tree,16,0.9375,0.5145833333333334,0.29400645310571777,0.08201884920634922,0.09390081864402351,0.5052083333333333,10.5809375,28.578698455820792,5309.5,6.0
qwen2.5vl:3b,routes_controllers,16,0.8125,0.3697916666666667,0.24316620879120882,0.10331536023500308,0.09769922135785603,0.4636656746031746,15.348937500000002,24.801789420061795,17198.3125,5.25
