repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
openfun__marsha,Marsha Educational Media Platform,random_code_same_budget,qwen2.5:3b,35901,15,8,3,1,0.3333333333333333,0.2,0.027777777777777776,0.09570754489864702,0.625,60.528,19.407835395701927
openfun__marsha,Marsha Educational Media Platform,full_selected_context,qwen2.5:3b,52018,15,8,3,1,0.3333333333333333,0.2,0.09953703703703703,0.15035447644143296,0.625,66.712,21.6627245540289
openfun__marsha,Marsha Educational Media Platform,oracle_upper_bound,qwen2.5:3b,52018,15,8,5,1,0.3333333333333333,0.3333333333333333,0.0,0.14551290066571193,0.375,65.279,26.76602684331901
thakurpdhiraj__library_management_system,Library Management System Microservices,readme_only,qwen2.5:3b,5867,12,8,6,1,1.0,0.5,0.0,0.1748724705246444,0.25,25.933,47.62308705786967
thakurpdhiraj__library_management_system,Library Management System Microservices,file_tree_only,qwen2.5:3b,2662,12,8,5,1,0.6666666666666666,0.4166666666666667,0.0,0.10685908319185058,0.375,33.255,35.76955291454443
thakurpdhiraj__library_management_system,Library Management System Microservices,readme_plus_code,qwen2.5:3b,41931,12,8,4,1,1.0,0.3333333333333333,0.0,0.1996305418719212,0.5,43.152,39.66112479474548
thakurpdhiraj__library_management_system,Library Management System Microservices,random_code_same_budget,qwen2.5:3b,28327,12,8,1,1,0.6666666666666666,0.08333333333333333,0.0,0.14634146341463414,0.875,62.39,19.695121951219512
thakurpdhiraj__library_management_system,Library Management System Microservices,full_selected_context,qwen2.5:3b,50617,12,8,6,1,1.0,0.5,0.0,0.19219066937119678,0.25,58.216,47.882860040567955
thakurpdhiraj__library_management_system,Library Management System Microservices,oracle_upper_bound,qwen2.5:3b,50637,12,8,7,1,0.6666666666666666,0.5833333333333334,0.05194805194805195,0.21404092452038873,0.125,81.059,46.74957490676688
tough-dev-school__education-backend,Tough Dev School Education Backend,readme_only,qwen2.5:3b,2897,17,2,1,1,0.0,0.058823529411764705,0.0,0.058823529411764705,0.5,12.018,7.941176470588235
tough-dev-school__education-backend,Tough Dev School Education Backend,file_tree_only,qwen2.5:3b,5144,17,8,4,1,0.2,0.23529411764705882,0.0,0.09272928962150048,0.5,32.23,18.626233461969566
tough-dev-school__education-backend,Tough Dev School Education Backend,readme_plus_code,qwen2.5:3b,33754,17,8,1,1,0.0,0.058823529411764705,0.0,0.06521739130434782,0.875,48.015,4.287084398976982
tough-dev-school__education-backend,Tough Dev School Education Backend,random_code_same_budget,qwen2.5:3b,22708,17,3,2,1,0.2,0.11764705882352941,0.0,0.15587044534412955,0.3333333333333333,24.842,17.12237040565214
tough-dev-school__education-backend,Tough Dev School Education Backend,full_selected_context,qwen2.5:3b,46868,17,8,0,1,0.2,0.0,0.0,0.0,1.0,44.887,4.000000000000001
tough-dev-school__education-backend,Tough Dev School Education Backend,oracle_upper_bound,qwen2.5:3b,46394,17,3,3,1,0.4,0.17647058823529413,0.041666666666666664,0.20707070707070704,0.0,32.98,28.115864527629235
