repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
gothinkster__spring-boot-realworld-example-app,file_tree_only,3,0.6666666666666666,0.16666666666666666,0.4444444444444445,0.0,0.07719509476031215,0.6666666666666666,14.546333333333331,23.3801486436269,946.0,5.333333333333333
gothinkster__spring-boot-realworld-example-app,full_selected_context,3,1.0,0.25,0.5,0.10833333333333332,0.2079110410659152,0.5,33.809333333333335,32.785332282655396,46380.0,6.0
gothinkster__spring-boot-realworld-example-app,oracle_upper_bound,3,1.0,0.25,0.6666666666666666,0.2875925925925926,0.17894360239252713,0.375,36.141999999999996,43.01933922107309,45845.0,6.666666666666667
gothinkster__spring-boot-realworld-example-app,random_code_same_budget,3,1.0,0.25,0.38888888888888884,0.0462962962962963,0.1047856464523131,0.4166666666666667,29.542333333333335,26.942155067155067,35168.0,5.666666666666667
gothinkster__spring-boot-realworld-example-app,readme_only,3,0.6666666666666666,0.16666666666666666,0.4444444444444444,0.0,0.08596071783830846,0.6666666666666666,15.351,23.511632989796848,3344.0,5.333333333333333
gothinkster__spring-boot-realworld-example-app,readme_plus_code,3,1.0,0.25,0.38888888888888884,0.049074074074074076,0.10873183633040266,0.7083333333333334,28.87566666666667,24.140236804215295,39410.0,6.0
kimai__kimai,file_tree_only,3,1.0,0.5555555555555555,0.38888888888888884,0.12116402116402115,0.10549094424094424,0.5833333333333334,14.864333333333335,32.89453347578347,5435.0,6.0
kimai__kimai,full_selected_context,3,1.0,0.5555555555555555,0.2222222222222222,0.06190476190476191,0.06411172161172161,0.8333333333333334,33.49666666666667,22.755326617826615,46464.0,6.0
kimai__kimai,oracle_upper_bound,3,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.10357142857142858,0.06284256598552575,0.8333333333333334,33.412,14.680733727878122,52018.0,2.6666666666666665
kimai__kimai,random_code_same_budget,3,1.0,0.5555555555555555,0.1111111111111111,0.0,0.07575757575757576,0.5,17.706,21.136363636363637,28485.0,3.6666666666666665
kimai__kimai,readme_only,3,0.6666666666666666,0.3333333333333333,0.27777777777777773,0.060317460317460325,0.08892862210869874,0.7916666666666666,18.688999999999997,21.012500760201913,5634.0,5.333333333333333
kimai__kimai,readme_plus_code,3,1.0,0.5555555555555555,0.3333333333333333,0.036190476190476197,0.06425206132609784,0.75,32.653333333333336,26.96536822147877,38701.0,6.0
koel__koel,file_tree_only,3,0.6666666666666666,0.0,0.05555555555555555,0.0,0.06666666666666667,0.9583333333333334,12.162999999999998,3.3611111111111107,6074.0,5.333333333333333
koel__koel,full_selected_context,3,0.6666666666666666,0.0,0.1111111111111111,0.047619047619047616,0.06458333333333334,0.9166666666666666,37.90133333333333,6.643353174603175,47212.0,5.333333333333333
koel__koel,oracle_upper_bound,3,0.6666666666666666,0.0,0.27777777777777773,0.09788359788359786,0.08368606701940035,0.7916666666666666,37.107,15.018518518518519,48899.0,5.333333333333333
koel__koel,random_code_same_budget,3,1.0,0.0,0.05555555555555555,0.05555555555555555,0.05128205128205129,0.9583333333333334,20.586666666666666,4.2414529914529915,33931.0,6.0
koel__koel,readme_only,3,1.0,0.16666666666666666,0.38888888888888884,0.0,0.1090962241711867,0.4583333333333333,9.364,23.997554473678914,6436.0,6.0
koel__koel,readme_plus_code,3,0.6666666666666666,0.16666666666666666,0.05555555555555555,0.0,0.037037037037037035,0.9583333333333334,23.483999999999998,6.25,37252.0,5.333333333333333
spring-projects__spring-petclinic,file_tree_only,3,1.0,0.0,0.05555555555555555,0.0,0.08641975308641975,0.8333333333333334,7.5136666666666665,4.9074074074074066,897.0,4.333333333333333
spring-projects__spring-petclinic,full_selected_context,3,0.6666666666666666,0.0,0.2222222222222222,0.0,0.11719343977408492,0.8333333333333334,27.980333333333334,11.20234604105572,52018.0,5.333333333333333
