repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
jobic10__student-management-using-django,readme_only,8,1.0,0.625,0.3846153846153846,0.03514030612244897,0.12115672922455756,0.24479166666666666,23.747125,36.03377885568914,7547.0,6.125
jobic10__student-management-using-django,readme_plus_code,8,1.0,0.5833333333333333,0.40384615384615385,0.06919642857142858,0.1547410943619687,0.22916666666666666,38.37175,37.21466037147349,28971.0,6.875
knowledgefactory4u__librarymanagementsystem,file_tree_only,8,1.0,0.25,0.28750000000000003,0.08541666666666667,0.10096590601771009,0.4151785714285714,13.20175,24.13353620931327,210.0,5.0
knowledgefactory4u__librarymanagementsystem,full_selected_context,8,0.75,0.75,0.35,0.21645833333333336,0.12146088850162745,0.508173076923077,49.289375,38.319349224960305,36207.0,5.75
knowledgefactory4u__librarymanagementsystem,oracle_upper_bound,8,0.875,0.875,0.375,0.3186805555555555,0.14709959446215254,0.421875,46.28275000000001,44.9863550280434,36908.0,5.875
knowledgefactory4u__librarymanagementsystem,random_code_same_budget,8,0.875,0.625,0.3625,0.13729166666666665,0.15011204987409918,0.5548611111111111,37.74575,34.63640297033371,27678.0,6.875
knowledgefactory4u__librarymanagementsystem,readme_only,8,0.875,0.875,0.325,0.025,0.12762390548645353,0.546875,25.481625,35.820608582296806,2357.0,6.375
knowledgefactory4u__librarymanagementsystem,readme_plus_code,8,0.875,0.875,0.44999999999999996,0.21800099206349205,0.16090698020714678,0.4174107142857143,43.256249999999994,45.8495174015199,28647.0,6.75
mehmetpekdemir__Library-Management-System,file_tree_only,8,1.0,0.5,0.4375,0.08246527777777776,0.09659327198963294,0.46651785714285715,20.077749999999998,33.745526063971475,318.0,6.875
mehmetpekdemir__Library-Management-System,full_selected_context,8,1.0,0.375,0.390625,0.1503945707070707,0.10866037936717587,0.5319940476190477,40.298875,30.48973162845858,30075.0,6.5
mehmetpekdemir__Library-Management-System,oracle_upper_bound,8,1.0,0.25,0.46875,0.1879103535353535,0.12807351367939573,0.446875,42.1385,32.616809775898005,31458.0,6.75
mehmetpekdemir__Library-Management-System,random_code_same_budget,8,1.0,0.25,0.546875,0.2709911616161616,0.15566976807866822,0.384375,44.354125,38.05174475350325,30947.0,7.125
mehmetpekdemir__Library-Management-System,readme_only,8,1.0,0.625,0.484375,0.10012626262626262,0.12792371994121593,0.29583333333333334,17.551,40.41617271831016,1244.0,5.375
mehmetpekdemir__Library-Management-System,readme_plus_code,8,1.0,0.5,0.546875,0.17157738095238095,0.11538021894829414,0.3302083333333333,38.268875,41.000792569938696,29379.0,6.5
mwinamijr__django-scms,file_tree_only,8,1.0,0.375,0.16071428571428573,0.10372023809523809,0.13440505615373283,0.6197916666666666,21.409999999999997,21.017563937544086,1548.0,6.0
mwinamijr__django-scms,full_selected_context,8,1.0,0.6875,0.20535714285714282,0.13589285714285715,0.10194597414669868,0.525,42.10424999999999,29.934546755057625,41131.0,6.0
mwinamijr__django-scms,oracle_upper_bound,8,0.875,0.5625,0.14285714285714285,0.10461805555555556,0.10649029919783644,0.6770833333333333,46.533875,23.168882265745324,46079.0,4.875
mwinamijr__django-scms,random_code_same_budget,8,1.0,0.46875,0.07142857142857142,0.058333333333333334,0.09014219504288878,0.7738095238095238,26.955374999999997,16.65570435421476,19928.0,5.875
mwinamijr__django-scms,readme_only,8,1.0,0.71875,0.16964285714285712,0.03967013888888889,0.09956934836589723,0.5,17.544375000000002,27.59944300326624,2284.0,5.5
mwinamijr__django-scms,readme_plus_code,8,0.875,0.40625,0.13392857142857142,0.09802579365079364,0.07642080085031969,0.765625,39.322500000000005,18.263077885770667,33790.0,6.5
openfun__marsha,file_tree_only,8,1.0,0.24999999999999997,0.11666666666666667,0.010582010582010581,0.09347396697154368,0.7104166666666667,25.093124999999997,13.592916382880034,5007.0,6.625
openfun__marsha,full_selected_context,8,0.875,0.4583333333333333,0.19166666666666665,0.06306836970899471,0.1143632406076743,0.4756944444444444,53.48925,24.094871558850564,52018.0,5.75
openfun__marsha,oracle_upper_bound,8,0.875,0.375,0.19166666666666665,0.039699074074074074,0.14197716000108285,0.40625,59.487874999999995,23.06947221483106,52018.0,4.75
openfun__marsha,random_code_same_budget,8,0.875,0.08333333333333333,0.125,0.006944444444444444,0.09449171562449318,0.46458333333333335,36.679625,12.95209795658962,35901.0,3.875
openfun__marsha,readme_only,8,0.875,0.5833333333333333,0.18333333333333332,0.0,0.100583836045413,0.5870535714285714,24.1235,23.721555159728815,10040.0,5.875
openfun__marsha,readme_plus_code,8,0.875,0.4166666666666667,0.15,0.029513888888888888,0.09919148561481186,0.515625,39.39824999999999,20.50523339533329,46104.0,4.5
