model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,composite_score_delta_ci_low,composite_score_delta_ci_high,use_case_recall_delta_mean,use_case_recall_delta_sd,use_case_recall_delta_ci_low,use_case_recall_delta_ci_high,path_fidelity_delta_mean,path_fidelity_delta_sd,path_fidelity_delta_ci_low,path_fidelity_delta_ci_high,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,unsupported_feature_rate_delta_ci_low,unsupported_feature_rate_delta_ci_high,elapsed_sec_delta_mean,elapsed_sec_delta_sd,elapsed_sec_delta_ci_low,elapsed_sec_delta_ci_high
qwen2.5-coder:3b,bm25_minus_random_code,16,-1.2745301659056585,15.436247986355868,-8.582326058737031,6.469887506588949,-0.033498792873792885,0.19413992120462428,-0.12819906655844157,0.059988084831834834,-0.018022524350649348,0.11475776292578714,-0.07561844730790042,0.03599131944444442,-0.007787698412698406,0.24367978366218743,-0.11612537202380951,0.11255394345238094,1.9992500000000004,2.9030233780204617,0.6495765625000001,3.355660937499998
qwen2.5-coder:3b,full_minus_readme_plus_code,16,-3.2102867062844136,15.643773005931967,-10.322426132561722,4.153768399848821,-0.028739887563416968,0.1703229419039869,-0.10251990044269453,0.053496064291101035,0.004086737914862908,0.11312688605284803,-0.046177088970057734,0.05839554022366517,0.051860119047619044,0.29050212820956933,-0.0853875248015873,0.17849144345238083,1.1819374999999996,2.0772145281201295,0.23144687499999989,2.2197171874999992
qwen2.5-coder:3b,readme_plus_code_minus_file_tree,16,13.753742519963973,17.65598325405962,5.277404263158251,22.029052995733725,0.10359380203130204,0.20134387051533972,0.01301660579004329,0.2001155094905095,0.10272366522366523,0.1950216202197781,0.01164995377886003,0.19594440498737373,-0.1747767857142857,0.301426508540673,-0.3154408482142857,-0.031026785714285715,4.39875,3.0686994096305145,2.8805781250000004,5.811717187499998
qwen2.5-coder:3b,readme_plus_code_minus_random_code,16,4.961408532140272,14.230117374591847,-1.8286190710248102,11.344781971680161,-0.00039770278740867103,0.15132202729889846,-0.07082106848421187,0.07370873611682432,0.03342498647186148,0.1163262236616846,-0.01850849454365079,0.09421375586219333,-0.0845486111111111,0.2745234718090132,-0.21997395833333333,0.04167968749999994,-0.28656249999999994,3.00352135487109,-1.7669406249999997,1.0211328124999983
qwen2.5-coder:3b,routes_minus_file_tree,16,3.275623816717041,22.495816393713884,-7.644700790181302,14.534079545386422,-0.006705273892773892,0.2872353693453672,-0.14792797046703296,0.1369900932400932,0.040158842893217896,0.18429922833512033,-0.05000279017857142,0.1259013122294372,-0.007812500000000007,0.3572071288067616,-0.1875651041666667,0.1640625,2.3781875,3.477508269220938,0.6244406249999995,3.9030765625
qwen2.5-coder:3b,models_minus_file_tree,16,2.652796925871896,16.569130733414084,-4.97853164511107,10.623332398343765,0.0297271050028403,0.15837666017989704,-0.0460415870893812,0.1044418097221406,0.05770720598845599,0.19147812281277052,-0.03794214466089464,0.15175893420815295,-0.00719246031746032,0.2019900714814278,-0.1002108134920635,0.08929501488095233,2.5339375,2.136975696905949,1.4491140625,3.441970312499998
qwen2.5-coder:3b,oracle_upper_bound_minus_readme_plus_code,16,-0.9993626621993981,17.800139711001332,-9.02741952470553,7.652933870692493,-0.02065324381500852,0.22971799032564924,-0.12656350695872753,0.08962863117274865,-0.011479940776815778,0.14286208136357617,-0.08543480752465128,0.051292505599146165,-0.05327380952380952,0.4029859498009347,-0.24078125,0.1342299107142857,1.6338749999999997,3.127736772279065,0.15900937499999984,3.0338703124999973
qwen2.5-coder:7b,readme_plus_code_minus_readme_only,16,5.386260748123189,14.179454587010662,-0.9523570528160473,12.138214420086152,0.07788987972811502,0.17134752091707134,0.0026868390494309623,0.16334902077089575,0.13725907029478457,0.11983451983029852,0.0787382595083488,0.19679573155019575,-0.08824404761904762,0.25626462128520394,-0.2199404761904762,0.027914806547618975,9.8739375,5.843850950286691,6.944321874999999,12.590934375
qwen2.5-coder:7b,bm25_minus_readme_plus_code,16,-0.34450624381773776,9.592546348544783,-5.075410017288854,4.117525788642034,0.00021580747683690345,0.10566417869396587,-0.05230998168498168,0.051043804541047164,0.015205305607091324,0.08338883362628981,-0.024238270781797553,0.056867598175633874,0.059598214285714296,0.19095053474051094,-0.03258928571428571,0.15513950892857142,5.3128125,4.868258103521217,3.132226562499999,7.691387499999993
qwen2.5-coder:7b,bm25_minus_random_code,16,5.640672974957678,13.940986899275071,-1.1895828351567412,11.713941667670474,0.08982763559969444,0.17560579127723888,0.00733191976528374,0.17705010063465945,0.0025151064213564216,0.1264631073969113,-0.05907931998556999,0.05961733687319623,-0.09598214285714285,0.31209156983036834,-0.23892299107142856,0.04578683035714271,5.850375000000001,4.478489654262175,3.699778125,7.841835937499999
